project;plan
interval;"This module works with Drupal 9 🌰 If you find something else, please <a href=""https://www.drupal.org/node/add/project-issue/interval"">Open an issue!</a> - thanks!"
tzfield;"The 8.x-1.x branch of this module supports Drupal 9."
config_direct_save;"This module is compatible with Drupal 9."
views_year_filter;"Release <code>8.x-1.1</code> or higher is D9 compatible!"
hierarchical_taxonomy_menu;"This module is Drupal 9 ready."
maillog;"Should work with Drupal 9 as of the 8.x-1.0-beta1 release."
block_type_templates;"This project is Drupal 9 ready"
colorbox_field_formatter;"This project is ready for Drupal 9"
queue_mail;"Drupal 9 compatible"
entityqueue_form_widget;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/entityqueue_form_widget?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
vani;"This theme is Drupal 9 ready. Vani theme is compatible on Drupal 9. So, go ahead and use the theme on Drupal 9 websites."
contact_storage_export;"This module is Drupal 9 ready."
imce_rename_plugin;"Fully compatible with Drupal 9."
minifyjs;"Minify JS supports D9 from version 8.x-2.0 and onward."
mail_safety;"8.x-1.1+ is Drupal 9 compatible."
http2_server_push;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/http2_server_push/releases/8.x-1.1"">version 1.1</a>!"
config_inspector;"Current releases of the project support Drupal 9. [#3203184]"
pdfpreview;"This module is ready for Drupal 9."
view_mode_page;"Version 4.0.0 supports Drupal 9."
slick_lightbox;"Slick Lightbox 8.x supports Drupal 9. Enjoy."
theme_switcher;"Theme Switcher supports Drupal 9."
footnotes;"Footnotes 3.0.0+ supports Drupal 9. Enjoy."
text_summary_options;"This module is already compatible with Drupal 9."
bfd;"This theme is compatible with Drupal 9."
search_api_solr_multilingual;"This functionality of this module is already merged in Search API Solr itself. Just use that one. But the 3.x version of Search API Solr Multilingual still provides the required upgrade hooks to switch to Search API Solr! The 3.1 version and it's upgrade hooks already support Drupal 9!"
rrssb;"RRSSB supports Drupal 9"
varbase_total_control;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_total_control?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
simple_megamenu;"8.x-1.0 version is now compatible with Drupal 9."
tour_ui;"No known issues."
ckeditor_scayt;"Module is Drupal 9 ready."
markdown;[#3103679]
paragraphs_jquery_ui_accordion;"8.x-1.x-dev is compatible with Drupal 9."
vendor_stream_wrapper;"Release 1.6 is here. Please test."
block_list_override;"This module is Drupal 9 compatible."
restrict_ip;"Use 3.x Drupal 9 compatible SemVer release."
page_specific_class;"Fully Drupal 9 compatible as of 2.0.x."
filehash;"The 8.x-1.x branch of this module supports Drupal 9."
reference_table_formatter;[#3144081]
image_style_warmer;"Compatible with Drupal 9; please report any incompatibilities in the <a href=""https://www.drupal.org/project/issues/image_style_warmer"">issue queue</a>."
vmi;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/vmi?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
vertical_tabs_config;"This module is already compatible with Drupal 9."
key_auth;"Completed with version 8.x-1.1."
bricks;"Porting efforts at [#3131548]"
rest_export_nested;"REST export Nested 8.x-1.0-alpha5 supports Drupal 9."
search_api_spellcheck;"Full Drupal 9 support!"
cookiebot;"8.x-1.0-alpha7+ is Drupal 9 compatible."
hotkeys_for_save;"The module is ready for Drupal 9."
bootstrap_site_alert;"Drupal 9 is fully supported since versions 8.x-1.8 && 8.x-2.0-beta5"
juicerio;[#3086282]
menu_force;"This module is Drupal 9 compatible since the 1.2 release."
better_search;"Better Search Block 8.x-1.5+ supports Drupal 9. Enjoy."
fpa;"This module is Drupal 9 compatible."
login_popup;"Drupal 9 compatible"
linkchecker;"Read more about this project’s readiness at [#3094762]"
config_normalizer;"8.x-1.x is Drupal 9 compatible."
quick_node_block;"Compatible Stable Version to Drupal 9!"
varbase_editor;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_editor?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
at_theme;"This theme is D9 compatible."
ckeditor_abbreviation;"This project is ready for Drupal 9"
layout_builder_operation_link;"Drupal 9 ready."
views_send;"Version 8.x-1.5 is ready for Drupal 9."
entity_reference_tree;"2.0.0+ Support Drupal 9."
bootstrap_basic_image_gallery;"Drupal 9 compatible"
comment_notify;"Compatible with Drupal 9"
no_autocomplete;"This module is ready for Drupal 9."
webform_content_creator;"Webform Content Creator 8.x-1.6+ supports Drupal 9. Enjoy."
blazy_photoswipe;"Blazy PhotoSwipe 8.x supports Drupal 9. Enjoy."
content_language_access;"Version 8.x-1.1 should work on Drupal 9. Please report any issues you find"
taxonomy_delete;"Taxonomy delete 8.x-1.1+ supports Drupal 9"
pcb;"This module is Drupal 9 ready."
nbsp;"NBSP is now out for Drupal 9"
varbase_seo;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_seo?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
varbase_core;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_core?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
varbase_bootstrap_paragraphs;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_bootstrap_paragraphs?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
magazine_lite;"The theme is fully compatible with Drupal 9"
block_in_page_not_found;"This module is compatible with Drupal 9."
linkit_media_library;"This module is Drupal 9 compatible"
disable_link_rel;"The current module version is ready to run!"
meta_position;"Compatible Drupal 9"
scheduled_transitions;"2.x branch is compatible with Drupal 9."
background_image;"Version 2.0.0 and higher supports Drupal 9."
at_tool;"This module is D9 compatible"
apigee_edge;"8.x-1.10+ is Drupal 9 compatible."
webform_xlsx_export;"This module is Drupal 9 ready."
scss_compiler;"This module is ready for Drupal 9."
copyright_footer;"<a href=""https://www.drupal.org/project/copyright_footer/issues/3138975"" title=""Drupal 9 readiness"">Issue #3138975: Drupal 9 readiness</a>"
hcaptcha;"hCaptcha 1.1 is now Drupal 9 compatible."
migrate_source_ui;"Support Drupal 9"
tacjs;"TacJS is Drupal 9 compatible."
git_deploy;"Git Deploy fully supports Drupal 9."
field_slideshow;"Branch 8.3 is compatible with Drupal 9 :)"
block_classes;"This module is Drupal 9 compatible 🍻"
contextual_range_filter;"Works in D8 as well as D9."
paragraphs_viewmode;"Drupal 9 compatible module."
copyright_block;"8.x-1.0-rc3 is Drupal 9 compatible."
cheeseburger_menu;"This module is Drupal 9 ready."
soundcloudfield;"2.0.x release is fully compatible with Drupal 9"
term_merge;"This module's source code will be kept compatible with Drupal 9 by regularly replacing usage of deprecated functionality. That should be all that's needed to ensure it runs on Drupal 9."
entity_hierarchy;"Versions from 8.x-2.18 onwards are Drupal 9 compatible"
courier;"Drupal 8.9 and Drupal 9 support found in 2.x branch."
copyprevention;"This module is Drupal 9 compatible 🍻"
modal_page;"Modal 4.0.0+ supports Drupal 9. Enjoy! 🎉"
jquery_countdown_timer;"This module is Drupal 9 compatible 🍻"
scanner;"D9 is fully supported since 8.x-1.0-rc2."
nodeviewcount;"<a href=""https://www.drupal.org/project/nodeviewcount/issues/3103468"">#3103468: Add new key core_version_requirement in nodeviewcount.info.yml </a>"
dbal;"The module works with D9 🌰"
flickity;"The 3.0.x version is Drupal 9 ready! Feel free to work on some issues in the queue to get a stable release."
wordpress_migrate;"This module supports Drupal 8 and 9! Help welcome on Drush 9/10: [#2955644]"
layout_section_classes;"D9 compatible."
migrate_manifest;"Works with Drupal 9.1 or higher. Drupal 9.0 will not work due to an API change fixed in later versions."
config_selector;"This project has released 8.x-2.0 that is compatible with Drupal 9 and has automated tests."
onlyone;"This module is ready for Drupal 9."
popup_message;"No issues were found during the upgrade to version 2.x."
jsonapi_include;"JSON:API Include 8.x-1.1+ supports Drupal 9. Enjoy."
advanced_help;"Release 8.x-1.0 is fully compatible."
imagefield_tokens;"Module versions from <strong>8.x-2.2</strong>+ are Drupal Core<strong> 8.8.*+</strong> compatible Module versions before <strong>8.x-2.2</strong> are compatible with Drupal Core <strong>8.5 - 8.7</strong>"
nagios;"This module is ready for Drupal 9."
httpswww;"No known issues with Drupal 9."
http_response_headers;"Ready for Drupal 9."
ckeditor_responsive_plugin;"This module is compatible with drupal 9 started version 2.0.0"
video_embed_dailymotion;"Drupal 9 compatible since 8.x-1.2"
corporate_lite;"The theme is fully compatible with Drupal 9"
newsplus_lite;"The theme is fully compatible with Drupal 9"
media_gallery;"8.x-1.0+ is Drupal 9 compatible."
block_form_alter;"This module is ready for Drupal 9!"
external_link_popup;Compatible
job_scheduler;"Currently no known issues with Drupal 9."
views_load_more;[#3149281]
vartheme;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/vartheme?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
node_read_time;"Node read time 8.x-1.2+ supports Drupal 9."
media_migration;"Media Migration is compatible with Drupal 9 from its <code>8.x-1.0-alpha2</code> release."
vartheme_admin;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/vartheme_admin?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
examples;"Help port this project at [#3088974]"
simple_responsive_table;"Drupal 9 compatible ftom 8.x-2.3 version."
smsframework;"Drupal 9 support can be found in 2.x versions. It is a drop in replacement for 1.x branch."
config_role_split;"Config Role Split is compatible with Drupal 9"
noreferrer;"The 8.x-1.x branch of this module supports Drupal 9."
context_metadata;"The version 8.x-2.x-dev is Drupal 9 ready. A stable release is coming soon."
field_encrypt;"8.x-2.0-alpha2 is compatible with Drupal 9"
devel_debug_log;"#3084266: Test for Drupal 9 deprecations"
mediteran;"Drupal 9 Ready"
varbase_landing;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_landing?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
photos;"Help port this project at [#3100870] Fund the port of this project at <a href=""https://buysomephotos.com/about"">the demo site</a>."
fz152;"Drupal 9 support added in 8.x-1.5 release."
custom_breadcrumbs;"Drupal 9 is also supported!"
toc_api;"Drupal 9 support is coming to 1.0 stable release."
scheduled_publish;"3.x-dev needs to be tested."
swagger_ui_formatter;"This module is ready for Drupal 9."
twitter_embed;"8.x-1.x is Drupal 9 compatible."
qa_accounts;"The 8.x-dev release is D9-compatible"
better_passwords;"Ready for Drupal 9!"
preview_link;"Preview Link 1.6 and later support Drupal 9"
hierarchical_term_formatter;"Version 1.2 adds Drupal 9 support."
views_timelinejs;"Versions 8.x-3.2 and higher are compatible with Drupal 9!"
forms_steps;"This module is compatible with D9 !"
filelog;"This module is fully compatible with Drupal 9 as of version 2.0.0."
private_content;"Private content supports Drupal 9"
dfp;"<code>1.0</code> is Drupal 9 compatible."
commerce_google_tag_manager;"Commerce Google Tag Manager is ready for Drupal 9 - see the issue [#3090750]"
responsive_menus;"Context module integration in D9 is not yet working.   See #3212993"
entity_export_csv;"Entity Export Csv is Drupal 9 compatible since beta5 version"
add_to_head;"<a href=""https://www.drupal.org/project/add_to_head/releases/8.x-1.0-alpha2"">8.x-1.0-alpha2</a> is Drupal 9 compatible"
vartheme_bs4;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/vartheme_bs4?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
reg_confirm_email;"Help port this project at [#3105943]"
datetime_extras;"datetime_extras is D9 ready as of <a href=""https://www.drupal.org/project/datetime_extras/releases/8.x-1.0-alpha2"">8.x-1.0-alpha2</a>. Older versions of upgrade_status give false positives for deprecations, since we have fallback code to keep supporting 8.7.x core. You need at least phpstan version 0.12.19 for the ignore comments to work."
pbf;"Drupal 9 ready since 8.x-1.3"
toc_filter;"Drupal 9 support is coming to 2.0 stable release."
add_content_by_bundle;"This module is ready for Drupal 9."
dblog_filter;"[#3058426] Test for Drupal 9 Deprecations"
apigee_api_catalog;"8.x-2.0+ is Drupal 9 compatible."
vppr;"8.x-1.1 release is compatible with Drupal 9."
termcase;"The development release is Drupal 9 compatible. The next stable release after 8.x-1.0 will be Drupal 9 ready."
social_auth_linkedin;"3.x versions support Drupal 9"
role_theme_switcher;"This module is Drupal 9 compatible 🍻"
core_views_facets;"see [#3106829]"
xmlrpc;"Version 8.x-1.0-beta3 is compatible with both Drupal 8 and 9."
miniorange_saml;"Currently no known issues with Drupal 9."
broken_link;"Drupal 9 compatible from 8.x-3.1 version"
sharedemail;"Release <code>8.x-2.1</code> is D9 compatible!"
varbase_heroslider_media;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_heroslider_media?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
date_ap_style;"This module is Drupal 9 ready!"
language_cookie;"Read more about this project’s readiness at [#3134366]."
uswds_base;"Drupal 9 Ready"
userswitch;"User Switch 8.x-1.5 + supports Drupal 9. Enjoy."
htmlawed;"Drupal 9 port of this module is available."
twig_render_this;"This module is Drupal 9 ready."
scn;"8.x-1.4+ is Drupal 9 compatible."
config_default_image;"This module is Drupal 9 ready."
field_image_style;"Drupal 9 ready"
quiz;"6.x-dev is Drupal 9 compatible."
queue_unique;"Module is compatible with Drupal 9 since [#3152220]"
paragraphs_sets;"8.x-2.x-dev is compatible with Drupal 9."
bg_img_field;"8.x-1.7 is compatible with Drupal 9."
protected_submissions;"8.x branch is compatible with Drupal 9!"
prevent_homepage_deletion;"Should be D9 compatible. See issue [#3124144]"
varbase_carousels;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_carousels?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
admin_audit_trail;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/admin_audit_trail?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
smart_sql_idmap;"Smart SQL ID Map is compatible with Drupal 9"
phone_international;"<strong>This module is Drupal 9 ready.</strong>"
varbase_styleguide;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_styleguide?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
lp_fontawesome;"Compatible with Drupal 9"
menu_item_fields;"The latest release is compatible with Drupal 9"
search_api_glossary;"The dev version is Drupal 9 compatible and a Drupal 9 release will be made by the end of October 2021."
nextpre;"This module is fully compatible with Drupal 9!"
cms_content_sync;"This module is Drupal 9 ready."
insert_view_adv;"Module is fully Drupal 9 compatible"
countries_info;"Module is compatible with Drupal 9."
calendar_systems;"Already compatible with D9 on latest 8.x branch and releases."
simplesamlphp_custom_attributes;"2.0.0 and 1.1 support Drupal 9."
addtocal;"Drupal 8/9 release support thanks to Greg Boggs.  9.x release pending, but 8.x is D9 ready."
realistic_dummy_content;"<p>This project is Drupal 9-compatible.</p>"
groupmedia;"Module is Drupal 9 compatible."
paragraphs_browser_previewer;"Module already ready to Drupal 9"
extra_field_description;"Extra Field Description 8.x-1.6+ supports Drupal 9. Enjoy."
search_api_algolia;"Read more about this project’s readiness at <a href=""https://www.drupal.org/project/search_api_algolia/issues/3138856"">#3138856</a>"
entity_events;"Version 2.0.x is Drupal 9 compatible."
varbase_email;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_email?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
bxslider;"BxSlider is Drupal 9 compatible."
social_simple;"Social simple compatible Drupal 9 since 8.x-1.8 and 2.0.0 version"
og;"The next alpha release (alpha 6) will be compatible with Drupal 9.1. See https://github.com/Gizra/og/pull/650"
twig;"The 2.0.0 release supports Drupal 9."
menu_delete;"This module is fully compatible with Drupal 9."
bootstrap_datepicker;"Compatible since <a href=""https://www.drupal.org/project/bootstrap_datepicker/releases/8.x-1.0-beta3"">Beta 3 release</a>"
image_slider;"Module is compatible with Drupal 9."
fotorama_gallery;"🎉This module is currently compatible with Drupal 9. See [#3062325]"
oauth2_client;"Version 3.x is ready for Drupal 9"
twig_debugger;"This module is Drupal 9 compatible 🍻"
create_user_permission;"The version 2.0.0 is fully compatible with Drupal 9."
rng;"Drupal 9 support is complete on the new 3.x branch!"
view_modes_display;"Supported as of 8.x-2.2!"
fullcalendar;"Compatible since version 8.x-1.0-alpha3"
conference_lite;"The theme is fully compatible with Drupal 9"
ckeditor_details;"This module is Drupal 9 ready."
field_inheritance;"Built and tested against D8.8, D8.9 and D9.0."
bootstrap_quicktabs;"This module is Drupal 9 compatible"
status_messages;"This module is Drupal 9 compatible 🍻"
entityconnect;"Entity connect 8.x-2.0-alpha2+ is Drupal 9 compatible."
saml_sp;"Currently there is no known deprecated code, limited testing completed on Drupal 9."
tooltip_taxonomy;"Tooltip Taxonomy 8.x-1.3+ supports Drupal 9."
condition_query;"Compatible with Drupal 9 as of <a href=""/project/condition_query/releases/8.x-1.3"">8.x-1.3</a>"
show_email;"Show Email Address 8.x-1.0+ supports Drupal 9."
warden;"Use the 3.x releases for Drupal 9."
forward;"Drupal 9 releases of Forward are ready for Production use."
simple_styleguide;"Drupal 9 ready!"
simple_facebook_pixel;"This module is Drupal 9 ready."
terms_of_use;"8.x-2.0+ is Drupal 9 compatible."
field_time;"This module is fully compatible with drupal 9"
pdb;"Drupal 9 is supported."
node_access_rebuild_progressive;"There is a new release 2.0 covering Drupal 9, please use this version if you are working with Drupal version >= 8.8"
podcast;"The latest version is compatible with Drupal 9"
entityreference_dragdrop;"This module is ready for Drupal 9!"
ckeditor_contents;"<h2>Drupal 9 ready</h2> Tested and working with Drupal 9 since 8.x-1.2.  Drupal is moving to semantic versioning for modules. Until then, Drupal 9 will use 8.x modules flagged with `core_version_requirement`."
simple_menu_permissions;"The dev version and the 1.3 release is compatible with Drupal 9 requirements."
html_formatter;"HTML Formatter supports Drupal 9."
field_config_cardinality;"Drupal 9 fully supported!"
sortableviews;"Version 8.x-1.0-beta1 supports Drupal 9"
rules_token;"Release 2.0.0 is compatible with Drupal 9."
entitygroupfield;"Supports Drupal 8.8.x through 9.0.x."
smart_title;"Smart Title is compatible with Drupal 9."
transaction;"This module is compatible with Drupal 9 from version 1.0-beta1 onwards"
video_filter;"Full release as of 8.x-1.0."
admin_toolbar_mediteran;"Drupal 9 is currently supported from version 1.5"
imagelightbox;"is now Drupal 9 compatible!"
layout_bg;Ready!
nice_login;"Compatible with Drupal 9"
helper;"This module is Drupal 9 compatible."
views_url_path_arguments;"Fully supports Drupal 9."
field_label;"Field Label works with Drupal 9."
open_readspeaker;"Fully compatible as of 8.x-1.5."
material_base;"The theme versions 1.8+ and 2.0+ are compatible with Drupal 9"
commerce_simple_stock;"This module is Drupal 9 compatible 🍻"
extra_image_field_classes;"Drupal 9 version is now released! Update to 8.x-1.1."
duplicate_role;"Duplicate role is compatible with Drupal 9."
config_log;"The version 3.0.0 is compatible with Drupal 9."
disable_login;"This module is supported in both D8 and D9"
delete_files;"Delete Files 8.x-1.5+ supports Drupal 9."
single_image_formatter;"This module and its submodules are already compatible with Drupal 9."
twig_remove_html_comments;"Release <a href=""https://www.drupal.org/project/twig_remove_html_comments/releases/8.x-1.0-beta1"" title=""8.x-1.0-beta1"">8.x-1.0-beta1</a> and onwards is compatible with Drupal 9."
preprocess;"8.x-1.3+ is Drupal 9 compatible."
twig_views;"Release <code>8.x-1.3</code> is D9 compatible!"
remove_entity_untranslatable_field_validation;"Drupal 9 compatible."
webform_node_element;"8.x-1.x-dev branch is D9 ready with the exception of tests."
field_gallery;"Drupal 9 ready"
businessplus_lite;"The theme is fully compatible with Drupal 9"
range_slider;"Release <code>8.x-1.1</code> is D9 compatible!"
registration_link;"No deprecation usage."
paragraphs_entity_embed;"We are now ready for D9 and added a compatibility release."
layout_options;"This module passes the check-drupal tests for deprecated functions.  Unless there are major changes in the core Layout structure, this should work fine with 9."
ldap_sso;"Branch 4.x is compatible with D9."
external_hreflang;"This module is D9 ready."
unique_entity_title;"Unique entity title 8.x-1.2+ supports Drupal 9"
fillpdf;"Ready for Drupal 9, but some dependencies are not. Will not move to beta until they are. To sponsor development, see the <strong><a href=""#fund"">Help fund development</a></strong> section."
thex;"The X theme is compatible with 9 also."
zuvi;"This theme is Drupal 9 ready. Zuvi theme is compatible on Drupal 9. So, go ahead and use the theme on Drupal 9 websites."
typogrify;"The 8.x-1.0 release is compatible with Drupal 9."
d8_google_optimize_hide_page;"Fully ported to Drupal 9"
lingotek;"D9 Ready!  Tasks were done under [#3065940]"
recurring_events;"Built and tested against D8.9 and D9.0."
dynamic_layouts;"Drupal 9 compatible."
language_hierarchy;"The latest 2.0.0-rc1 release is compatible with Drupal 9!"
vartheme_claro;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/vartheme_claro?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
modifiers;"This module is Drupal 9 compatible."
build_hooks;"The 2.x and 3.x versions support Drupal 9 ✨🦄"
s3fs_cors;"This module now works with Drupal 9."
custom_view_filters;"This module is already compatible with Drupal 9."
drimage;"Drupal 9 is fully supported."
simple_mail;"This module was ported to Drupal 9 during DrupalCon Global 2020."
responsive_background_image;"This module is Drupal 9 compatible in the latest branch (>= alpha2)"
rocket_chat;"Help test this project at #<a href=""https://www.drupal.org/project/rocket_chat/issues/3132031"">3132031</a>"
varbase_search;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_search?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
tmgmt_extension_suit;"Drupal 9 compatible"
section_library;"Ready for Drupal 9!"
content_synchronizer;"Content Synchronizer supports Drupal 9 since version 3.0"
user_field_value;"I think views core should merge this."
ckeditor_specialchars;"Drupal 9 ready"
views_taxonomy_parent_id_from_term;"This module is Drupal 9 ready."
ajax_add_to_cart;"<a href=""https://www.drupal.org/project/ajax_add_to_cart/releases/8.x-1.x-dev"" title=""8.x-1.x branch support Drupal 9"">8.x-1.x branch support Drupal 9</a>"
estore;"<h2>Drupal 9 Compatibility</h2> The theme is safe to be installed on the D9 project once the all modules dependencies will be ported to D9."
draggable_dashboard;"Module is fully Drupal 9 compatible"
tmgmt_smartling;"Drupal 9 compatible"
ip_anon;"The 8.x-1.x branch of this module supports Drupal 9."
ckeditor_images_gallery;"CKEditor Images Gallery 8.x-1.4+ supports Drupal 9. Enjoy."
age_field_formatter;"This module is Drupal 9 ready."
flood_settings;"This module is already compatible with Drupal 9."
adv_varnish;"4.0+ versions are compatible with Drupal 9"
smart_date_starter_kit;"This module only provides configuration, so nothing should be need to be updated for Drupal 9."
geshifilter;"The new dev branch 8.2 works with Drupal 8.8.x and with Drupal 9, so the plan is to release a beta version when Drupal 9 come and if there is not any new issue with it, release a stable version after."
token_embed_views;"Drupal 9 compatible."
google_optimize;"Fully ported to Drupal 9"
email_confirmer;"Work in progress, see [#3119778]"
address_display;"Drupal 9 is also supported."
entity_language_fallback;"Help port this project at [#3088973]"
rel_to_abs;Ready!
protected_file;"Drupal 9 ready"
toolbar_language_switcher;"The current dev version has to be compatible with Drupal Core 9. Anyway, any feature or bug requests are welcome."
fac;"Fast Autocomplete >= 8.x-1.6 is Drupal 9 compatible."
upgrade_rector;"8.x-1.0-alpha4 onwards is Drupal 9 compatible."
colossal_menu;"Version 8.x-1.4 is Drupal 9 compatible."
bootstrap4_modal;"This module is Drupal 9 ready <a href=""https://www.drupal.org/project/bootstrap4_modal/issues/3122876"">https://www.drupal.org/project/bootstrap4_modal/issues/3122876</a>"
view_user_email;"1.x.x is compatible with Drupal 9."
media_thumbnail_url_formatter;"media_thumbnail_url_formatter >= 2.0.0 supports Drupal 9."
minimal_lite;"The theme is fully compatible with Drupal 9"
layout_builder_save_and_edit;"This module is Drupal 9 compatible 🍻"
views_flexbox;"This project has been marked as compatible with Drupal 9. See [#3125649]"
varbase_layout_builder;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_layout_builder?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
views_autorefresh_d8;"D9 ready"
betterlt;"This module is Drupal 9 compatible 🍻"
electra;"At present compatible with Drupal 9"
entity_browser_block_layout;"Compatible with Drupal 9."
convert_nodes;"Converted by lobodacyril"
layout_builder_base;"The module is Drupal 9 ready!"
userpoints;"This module is compatible with Drupal 9 from version 1.0-beta1 onwards"
views_attach_library;"Fully Drupal 9 compatible as of 8.x-1.x."
search_api_field_map;"<strong>This module should be ready for use with Drupal 9.</strong>"
webform_civicrm;"To fully support Drupal 9, the Webform CiviCRM module has tagged a 6.0.0 release."
commerce_variation_add_to_cart;"This module is Drupal 9 ready."
rules_webform;"3.0.1 release is intended for Drupal 9."
better_messages;"Please, after update to version 2.0 - clear cache site."
dimension;"This project is ready for Drupal 9"
campaignmonitor;"Read more about this project’s readiness at [#3146377] and [#3149575]."
smart_date_calendar_kit;"This module is Drupal 9 ready."
image_link_attributes;"The stable release of the Image Link Attributes module has been tested and is Drupal 9 compatible."
pfm;"Compatible since version 8.x-1.2"
block_place;"This is a direct port from Drupal 8 experimental core module."
block_id;compatibility
breeze;"3.0.0 branch works on Both D8 and D9"
pcr;"This module is ready for Drupal 9!"
user_menu_avatar;"Drupal Rector patch for D9 compatibility has been applied."
loqate;"Releases <code>8.x-1.6-alpha1</code> and <code>2.0.0</code> are D9 compatible!"
anonymous_token;"Release <code>2.0.0</code> is D9 compatible!"
workflows_field;"Drupal >=8.9 and Drupal 9 support can be found in 2.x branch."
message_banner;"<a href=""https://www.drupal.org/project/message_banner/releases/8.x-1.1"">Release 1.1</a> adds Drupal 9 compatibility. It's now ready for use on D9!"
format_bytes;"Works out of the box with Drupal 9"
better_field_descriptions;"Better Field Descriptions 8.x-1.5+ supports Drupal 9. Enjoy."
fraction;"The 2.x branch is compatible with Drupal 9."
view_profiles_perms;"Project is compatible with Drupal 9 (2.0.x)"
redirect_after_registration;"Not yet started."
miniorange_oauth_client;"<strong>Currently no known issues with Drupal 9.</strong>"
fortytwo;"Drupal 9 compatible!"
existing_values_autocomplete_widget;"Use version 2.x for D9"
map_widget;"8.x-1.1+ is Drupal 9 compatible."
paragraphs_table;"ready for drupal 9"
merge_translations;"Merge translations is ready for Drupal 9 :)"
catalog_lite;"The theme is fully compatible with Drupal 9"
varbase_blog;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_blog?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
matomo_reports;"This module is Drupal 9 ready!"
cck_select_other;"<ul>   <li>Currently compatible with 9.0.0. [#3089761]</li>   <li>Future state: Possibly adding migrations to select_or_other module [#3093944]. Please discuss opinions in that issue.</li> </ul>"
editor_button_link;"8.x-1.0-beta3 is [#3130736]."
jquery_carousel;"jQuery Carousel 8.x-1.0+ supports Drupal 9."
spamicide;"Drupal 9 is also supported."
miniorange_2fa;"<strong>This (8.x) module is compatible with Drupal 9.</strong>"
maestro;"A 3.0.0-xxx release for Maestro has been provided.  This release has removed all deprecated code, has code style updates and allows Maestro to be run on D8.8+ and D9."
domain_menus;"Use 3.x"
views_fractionslider;"<strong>FractionSlider 8.x-1.2</strong> Scanned on 09-Apr-2020. No known issues found.  <strong>Views FractionSlider 8.x-1.2</strong> Scanned on 09-Apr-2020. No known issues found."
virtual_tour;"2.0.0-alpha1+ are compatible with Drupal 9."
bibcite;"Currently no known Drupal 9 compatibility issues in latest <a href=""https://www.drupal.org/project/bibcite/releases/2.0.x-dev"">2.0.x-dev</a>. [#3106019] [#3122162] [#3122519] [#3122751] [#3122552]"
changed_fields;"Drupal 9 compatible"
convert_media_tags_to_markup;"<p>This project is Drupal 9 ready.</p>"
group_content_menu;"Support Drupal 8 and Drupal 9."
